id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
52390563;369484155;HOOOOOH;HOH;6;28900;2022-10-20 08:25:21+00;20740;16879;53036;47365205;57310686;"{""legs"": [[1000642, 1000625, 8], [1000625, 1000812, 8], [1000812, 1000602, 11], [1000602, 1000625, 13], [1000625, 1000602, 13], [1000602, 1000638, 13]], ""id_trips"": [52390563, 52415562, 53662749, 54377054, 54399513, 54412052], ""id_zones"": [1000638, 1000625, 1000812, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 52775573, 63961516, 63961516, 63961516, 64076016]}"
57310686;369484155;HH;H;1;200;2022-10-21 04:54:57+00;27;0;12;52390563;57311323;"{""legs"": [[1000638, 1000642, 4]], ""id_trips"": [57310686], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
57311323;369484155;HWH;HWH;2;9200;2022-10-21 04:55:36+00;33154;31088;23325;57310686;63671942;"{""legs"": [[1000642, 1000947, 4], [1000947, 1000638, 13]], ""id_trips"": [57311323, 61072284], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
63671942;369484155;HOH;HOH;2;21500;2022-10-21 20:36:55+00;13962;10241;102212;57311323;24507773;"{""legs"": [[1000638, 1000532, 20], [1000532, 1000638, 23]], ""id_trips"": [63671942, 63943717], ""id_zones"": [1000638, 1000532, 1000638], ""id_staypoints"": [64076016, 63768325, 64076016]}"
24507773;369484155;HWOOOOH;HWOH;6;30400;2022-10-23 04:53:09+00;49818;45334;36135;63671942;30090057;"{""legs"": [[1000638, 1000947, 4], [1000919, 1000130, 13], [1000130, 1001030, 13], [1001030, 1000603, 17], [1000603, 1000602, 18], [1000602, 1000638, 18]], ""id_trips"": [24507773, 27096988, 27131652, 28833847, 29192801, 29201343], ""id_zones"": [1000638, 1000947, 1000130, 1001030, 1000603, 1000625, 1000638], ""id_staypoints"": [64076016, 33663725, 27106176, 27432398, 28880755, 63961516, 64076016]}"
30090057;369484155;HWOOH;HWOH;4;12100;2022-10-24 04:45:42+00;38867;36435;1487;24507773;35466633;"{""legs"": [[1000638, 1000947, 4], [1000947, 1000914, 14], [1000914, 1000625, 14], [1000625, 1000642, 15]], ""id_trips"": [30090057, 34790738, 34803260, 35410303], ""id_zones"": [1000638, 1000947, 1000914, 1000625, 1000638], ""id_staypoints"": [64076016, 33663725, 34798200, 63961516, 64076016]}"
35466633;369484155;HH;H;1;1900;2022-10-24 15:58:16+00;515;0;45698;30090057;37623569;"{""legs"": [[1000642, 1000638, 15]], ""id_trips"": [35466633], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
37623569;369484155;HWOH;HWOH;3;15200;2022-10-25 04:48:29+00;34072;31290;52455;35466633;44087070;"{""legs"": [[1000638, 1000947, 4], [1000947, 1000604, 13], [1000604, 1000638, 14]], ""id_trips"": [37623569, 41372094, 41771471], ""id_zones"": [1000638, 1000947, 1000604, 1000638], ""id_staypoints"": [64076016, 33663725, 41206771, 64076016]}"
44087070;369484155;HWH;HWH;2;8600;2022-10-26 04:50:36+00;31779;30081;3469;37623569;48325191;"{""legs"": [[1000638, 1000947, 4], [1000919, 1000638, 13]], ""id_trips"": [44087070, 47845126], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
48325191;369484155;HOH;HOH;2;18700;2022-10-26 14:38:04+00;11011;7729;11495;44087070;50299746;"{""legs"": [[1000638, 1000715, 14], [1000715, 1000638, 17]], ""id_trips"": [48325191, 49766028], ""id_zones"": [1000638, 1000715, 1000638], ""id_staypoints"": [64076016, 48754833, 64076016]}"
50299746;369484155;HOOOH;HOH;4;10600;2022-10-26 20:53:10+00;7529;5616;49245;48325191;54100815;"{""legs"": [[1000638, 1000914, 20], [1000914, 1000625, 21], [1000625, 1000602, 22], [1000602, 1000615, 22]], ""id_trips"": [50299746, 50358055, 50417665, 50419155], ""id_zones"": [1000638, 1000914, 1000625, 1000638], ""id_staypoints"": [64076016, 34798200, 63961516, 63961516, 64076016]}"
54100815;369484155;HWOH;HWOH;3;12000;2022-10-27 12:39:24+00;32030;29238;83692;50299746;63703391;"{""legs"": [[1000615, 1000947, 12], [1000947, 1000914, 20], [1000914, 1000638, 21]], ""id_trips"": [54100815, 56924590, 56991463], ""id_zones"": [1000638, 1000947, 1000914, 1000638], ""id_staypoints"": [64076016, 33663725, 34798200, 64076016]}"
63703391;369484155;HOH;HOH;2;7700;2022-10-28 20:48:06+00;10853;9583;54135;54100815;68391846;"{""legs"": [[1000638, 1000617, 20], [1000617, 1000638, 23]], ""id_trips"": [63703391, 63952305], ""id_zones"": [1000638, 1000617, 1000638], ""id_staypoints"": [64076016, 63960193, 64076016]}"
68391846;369484155;HH;H;1;200;2022-10-29 14:51:14+00;59;0;617;63703391;68798085;"{""legs"": [], ""id_trips"": [68391846], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
68798085;369484155;HOOOOH;HOH;5;19800;2022-10-29 15:02:30+00;47480;44237;34200;68391846;27166825;"{""legs"": [[1000615, 1000625, 15], [1000625, 1000635, 15], [1000612, 1000625, 22], [1000625, 1000609, 1], [1000609, 1000638, 4]], ""id_trips"": [68798085, 68822014, 70747493, 24409788, 24509078], ""id_zones"": [1000638, 1000625, 1000635, 1000625, 1000609, 1000638], ""id_staypoints"": [64076016, 63961516, 68826439, 63961516, 24442688, 64076016]}"
27166825;369484155;HWH;HWH;2;10400;2022-10-30 13:43:50+00;29559;27549;56323;68798085;34413458;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 21]], ""id_trips"": [27166825, 29687091], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
34413458;369484155;HWH;HWH;2;8600;2022-10-31 13:35:12+00;30827;29313;967;27166825;37323126;"{""legs"": [[1000638, 1000947, 13], [1000919, 1000638, 21]], ""id_trips"": [34413458, 37274824], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
